,Variable,F statistic,p value
1,V1,2.572448407485025,0.03746139799676059
2,A1,3.0512592369092624,0.01699028894690641
3,R1,4.854752126560484,0.0007858041680087646
4,K1,5.062573095552082,0.0005485086289075292
5,V2,3.042364621562767,0.017244135541800806
6,A2,0.5369943626593588,0.7086390081180841
7,R2,1.9378216320518897,0.10341055962441711
8,K2,2.6054703693869476,0.035493205950681894
